French,English
partie,part
aide,help
mois,month
mettre,to put
laisse,leash
eux,them
chaque,each
parlé,speak
bébé,baby
longtemps,long time
heures,hours
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
trouve,find
perdu,lost
première,first
côté,side
vieux,old
sois,be
matin,morning
suite,after
pardon,sorry
vers,towards
demandé,request
mis,placed
aujourd'hui,today
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
donne,given
croire,believe
gros,large
filles,girls
bureau,office
